epoch,accuracy,learning_rate,loss,perplexity,val_accuracy,val_loss,val_perplexity
0,0.17501717805862427,0.0010000000474974513,4.924264430999756,134.3150177001953,0.1752277910709381,5.185126781463623,173.45755004882812
1,0.19096773862838745,0.0010000000474974513,4.742703914642334,110.971435546875,0.183346688747406,5.136509895324707,163.89540100097656
2,0.19798365235328674,0.0010000000474974513,4.6504082679748535,100.46974182128906,0.18798604607582092,5.11570930480957,159.51406860351562
3,0.20288582146167755,0.0010000000474974513,4.591196537017822,94.15985107421875,0.19184106588363647,5.109692573547363,157.752685546875
4,0.20577749609947205,0.0010000000474974513,4.546717643737793,89.6368637084961,0.19438603520393372,5.0794477462768555,152.3850555419922
5,0.20834380388259888,0.0010000000474974513,4.511074066162109,86.13878631591797,0.19532892107963562,5.103673934936523,155.5128936767578
6,0.2110540270805359,0.0010000000474974513,4.481430530548096,83.29655456542969,0.2012115716934204,5.062111854553223,148.5941619873047
7,0.2129383534193039,0.0010000000474974513,4.454922199249268,80.82831573486328,0.1988668590784073,5.078637599945068,150.59219360351562
8,0.21449002623558044,0.0010000000474974513,4.432281017303467,78.78296661376953,0.20250491797924042,5.067430019378662,148.48394775390625
9,0.21579352021217346,0.0010000000474974513,4.413532733917236,77.1008071899414,0.19994325935840607,5.076845169067383,149.47735595703125
10,0.21719607710838318,0.0010000000474974513,4.397387504577637,75.65805053710938,0.2039484679698944,5.0564866065979,146.0839385986328
11,0.21820862591266632,0.0010000000474974513,4.382493495941162,74.36863708496094,0.20074430108070374,5.075078964233398,148.4995880126953
12,0.21945267915725708,0.0010000000474974513,4.3686909675598145,73.18334197998047,0.20101965963840485,5.084388256072998,149.5529327392578
13,0.22045375406742096,0.0010000000474974513,4.357974529266357,72.25154876708984,0.20277193188667297,5.093148231506348,150.5594482421875
14,0.22131407260894775,0.0010000000474974513,4.347472190856934,71.36036682128906,0.20512498915195465,5.0901875495910645,149.8372344970703
15,0.22272391617298126,0.0010000000474974513,4.338251113891602,70.57939147949219,0.20595106482505798,5.085672378540039,148.89645385742188
16,0.22835396230220795,0.0005000000237487257,4.276213645935059,66.43675231933594,0.20774507522583008,5.112545967102051,153.5902557373047
17,0.2303665578365326,0.0005000000237487257,4.25411319732666,65.17440032958984,0.2091635763645172,5.10018253326416,152.00869750976562
18,0.2310360223054886,0.0005000000237487257,4.240710258483887,64.40118408203125,0.20580922067165375,5.097419261932373,151.7516632080078
19,0.23172634840011597,0.0005000000237487257,4.231612682342529,63.864830017089844,0.20746971666812897,5.103104114532471,152.6973876953125
20,0.2326711267232895,0.0005000000237487257,4.22304630279541,63.341121673583984,0.20842929184436798,5.099005699157715,152.09889221191406
21,0.2360059767961502,0.0002500000118743628,4.187525749206543,61.180450439453125,0.20919695496559143,5.109752178192139,153.95079040527344
22,0.2374335676431656,0.0002500000118743628,4.175821304321289,60.53807067871094,0.20919695496559143,5.104092121124268,153.23379516601562
23,0.23780062794685364,0.0002500000118743628,4.1678900718688965,60.11194610595703,0.20935548841953278,5.111129283905029,154.4374542236328
24,0.2383689433336258,0.0002500000118743628,4.15882682800293,59.61031723022461,0.21079903841018677,5.1084489822387695,154.1131134033203
25,0.23843777179718018,0.0002500000118743628,4.155754089355469,59.45806884765625,0.21104101836681366,5.125823974609375,156.8892364501953
